District ID,District Name,County,Superintendent,Student Enrollment,Ever English Learners,Languages Spoken,Students with Disabilities,Free/Reduced Priced Lunch,Mobile Students,Administrators,Teachers,Educational Assistants,Counselors,Licensed Librarians,Psychologists,Social Workers,Experienced Teachers,Regular Attenders,Regular Attenders Change from Last Year,Regular Attenders Change Value,Oregon Regular Attenders Average,Grade 3 ELA,Grade 3 ELA Change from Last Year,Grade 3 ELA Change Value,Oregon Grade 3 ELA Average,Grade 8 Mathematics,Grade 8 Mathematics Change from Last Year,Grade 8 Mathematics Change Value,Oregon Grade 8 Math Average,On-Track to Graduate,On-Track to Graduate Change from Last Year,On-Track to Graduate Change Value,Oregon On-Track to Graduate Average,On-Time Graduation 2021-22,On-Time Graduation Change from Last Year,On-Time Graduation Change Value,Oregon On-Time Graduation 2021-22 Average,Five-Year Completion 2021-22,Five-Year Completion Change from Last Year,Five-Year Completion Change Value,Oregon Five-Year Completion 2021-22 Average
2043,Eagle Point SD 9,Jackson,Andrew Kovach,4142,18%,16,16%,>95%,19%,17,228,114,5,1,2,0,62%,72%,Decrease,2%,62%,23%,No Change,,40%,14%,No Change,,26%,78%,Increase,5%,84%,80%,Decrease,1%,81%,88%,Decrease,1%,87%
2203,Echo SD 5,Umatilla,Raymon Smith,304,<5%,3,13%,40%,8%,3,23,6,0,0,0,0,83%,81%,Increase,4%,62%,60%,Increase,32%,40%,39%,Increase,20%,26%,>95%,No Change,,84%,94%,No Change,,81%,100%,Increase,14%,87%
2217,Elgin SD 23,Union,Dianne Greif,392,*,8,16%,64%,12%,2,32,3,0,0,0,0,69%,56%,Decrease,4%,62%,11%,Decrease,8%,40%,21%,Increase,14%,26%,>95%,Increase,>4%,84%,50%,Decrease,21%,81%,74%,Decrease,12%,87%
1998,Elkton SD 34,Douglas,Andy Boe,211,*,5,13%,51%,15%,<1,20,1,0,0,<1,0,86%,48%,Decrease,10%,62%,83%,Increase,28%,40%,22%,Decrease,9%,26%,94%,Decrease,>1%,84%,89%,Decrease,7%,81%,96%,Decrease,4%,87%
2221,Enterprise SD 21,Wallowa,Rebecca Nordtvedt,421,*,6,19%,35%,<5%,2,31,10,0,0,0,0,89%,68%,Decrease,11%,62%,68%,Increase,34%,40%,29%,Decrease,13%,26%,90%,Decrease,3%,84%,81%,Decrease,15%,81%,100%,Increase,5%,87%
1930,Estacada SD 108,Clackamas,Ryan Carpenter,3059,9%,22,12%,28%,16%,12,126,33,6,0,3,0,69%,71%,Decrease,1%,62%,33%,Decrease,7%,40%,14%,Decrease,1%,26%,83%,Increase,9%,84%,90%,Increase,3%,81%,94%,Increase,4%,87%
2082,Eugene SD 4J,Lane,Andy Dey,16344,8%,49,14%,64%,13%,8,45,19,3,0,0,0,86%,61%,Decrease,7%,62%,47%,Decrease,1%,40%,33%,Decrease,2%,26%,85%,No Change,,84%,81%,Increase,2%,81%,86%,Decrease,2%,87%
2193,Falls City SD 57,Polk,Cory Ellis,175,*,2,19%,>95%,24%,3,19,10,0,0,0,0,65%,54%,Increase,22%,62%,7%,Decrease,8%,40%,<5%,No Change,,26%,75%,Decrease,2%,84%,81%,Increase,5%,81%,78%,Decrease,4%,87%
2084,Fern Ridge SD 28J,Lane,Gary Carpenter,1391,<5%,2,18%,45%,18%,10,78,32,5,0,0,0,77%,61%,Increase,17%,62%,40%,Decrease,3%,40%,24%,Increase,1%,26%,77%,Increase,5%,84%,63%,Decrease,15%,81%,83%,Increase,7%,87%
2241,Forest Grove SD 15,Washington,David Parker,5750,36%,57,15%,59%,12%,22,339,176,24,0,5,0,78%,63%,No Change,,62%,28%,Decrease,1%,40%,17%,Increase,5%,26%,82%,Increase,2%,84%,79%,No Change,,81%,85%,No Change,,87%
