District ID,District Name,County,Superintendent,Student Enrollment,Ever English Learners,Languages Spoken,Students with Disabilities,Free/Reduced Priced Lunch,Mobile Students,Administrators,Teachers,Educational Assistants,Counselors,Licensed Librarians,Psychologists,Experienced Teachers,K-2 Regular Attenders,Oregon K-2 Regular Attenders Average,Grade 3 ELA,Oregon Grade 3 ELA Average,Grade 8 Mathematics,Oregon Grade 8 Math Average,On-Track to Graduate,Oregon On-Track to Graduate Average,On-Time Graduation 2020-21,Oregon On-Time Graduation 2020-21 Average
2015,Harney County SD 4,Harney,Matthew Hawley,920,*,2,12%,8%,15%,2,41,<1,0,0,0,77%,84%,65%,39%,40%,10%,27%,69%,83%,56%,81%
2023,Harney County Union High SD 1J,Harney,Matthew Hawley,972,*,3,<5%,12%,26%,3,33,2,0,0,0,89%,94%,65%,55%,40%,31%,27%,88%,83%,97%,81%
2114,Harper SD 66,Malheur,Ron Talbot,242,*,2,13%,>95%,25%,1,10,7,0,0,0,100%,71%,65%,64%,40%,25%,27%,93%,83%,94%,81%
2099,Harrisburg SD 7J,Linn,Bryan Starr,746,6%,7,14%,50%,15%,4,53,21,3,0,<1,69%,63%,65%,50%,40%,12%,27%,71%,83%,86%,81%
2201,Helix SD 1,Umatilla,Brad Bixler,160,*,1,9%,25%,18%,1,16,4,1,0,0,76%,69%,65%,50%,40%,24%,27%,>95%,83%,100%,81%
2206,Hermiston SD 8,Umatilla,Tricia Mooney,5382,38%,20,14%,>95%,16%,18,309,82,12,1,2,64%,55%,65%,33%,40%,23%,27%,89%,83%,88%,81%
2239,Hillsboro SD 1J,Washington,Mike Scott,18784,33%,148,16%,>95%,15%,63,1015,415,70,1,10,79%,72%,65%,36%,40%,24%,27%,92%,83%,83%,81%
2024,Hood River County SD,Hood River,Rich Polkinghorn,3864,36%,4,14%,53%,13%,20,242,87,17,<1,2,82%,71%,65%,43%,40%,28%,27%,90%,83%,91%,81%
1895,Huntington SD 16J,Baker,Scott Bullock,91,*,1,11%,>95%,35%,1,10,2,0,0,0,80%,50%,65%,*,40%,*,27%,35%,83%,60%,81%
2215,Imbler SD 11,Union,Randy Waite,289,*,3,13%,29%,10%,2,22,3,0,0,0,86%,70%,65%,44%,40%,32%,27%,>95%,83%,100%,81%
3997,Ione SD R2,Morrow,Kevin Dinning,120,18%,2,18%,44%,15%,2,14,5,0,0,0,80%,55%,65%,*,40%,<5%,27%,*,83%,100%,81%
2053,Jefferson County SD 509J,Jefferson,Jay Mathisen,2722,37%,6,19%,>95%,19%,16,188,81,9,0,0,65%,43%,65%,28%,40%,20%,27%,82%,83%,85%,81%
2140,Jefferson SD 14J,Marion,Brad Capener,758,17%,5,16%,48%,17%,6,39,15,3,1,0,75%,72%,65%,32%,40%,<5%,27%,88%,83%,88%,81%
1934,Jewell SD 8,Clatsop,Cory Pederson,138,*,4,20%,39%,20%,2,17,5,1,0,<1,65%,54%,65%,*,40%,30%,27%,>95%,83%,100%,81%
2008,John Day SD 3,Grant,Louis Dix,481,*,3,17%,>95%,16%,5,38,10,0,0,0,63%,69%,65%,54%,40%,18%,27%,90%,83%,91%,81%
2107,Jordan Valley SD 3,Malheur,Rusty Bengoa,61,*,1,*,75%,*,<1,9,3,0,0,0,67%,64%,65%,*,40%,*,27%,*,83%,100%,81%
2219,Joseph SD 6,Wallowa,Lance Homan,278,*,1,17%,>95%,13%,2,22,3,<1,0,0,95%,60%,65%,63%,40%,21%,27%,>95%,83%,92%,81%
2091,Junction City SD 69,Lane,Troy Stoops,1568,7%,3,16%,>95%,16%,9,93,40,6,0,2,76%,64%,65%,44%,40%,26%,27%,78%,83%,83%,81%
2109,Juntura SD 12,Malheur,Mark Redmond,4,*,1,*,*,*,0,1,1,0,0,0,0%,*,65%,*,40%,*,27%,*,83%,*,81%
